"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000258038",3.46520635860325,-5.79192299912798,5.23990177808882,1.12630794563336e-06,0.00488404668824812,3.75248522705844,"102724917","LINC02327","long intergenic non-protein coding RNA 2327"
"ENSG00000164190",1.04882117071489,6.59181669505694,4.70278142115142,9.67756737434161e-06,0.0256049731715634,3.30143685621358,"25836","NIPBL","NIPBL cohesin loading factor"
"ENSG00000082213",1.24838270665916,4.56913887972428,4.69847506577215,9.84125342899661e-06,0.0256049731715634,3.28974799251743,"55322","C5orf22","chromosome 5 open reading frame 22"
"ENSG00000113569",1.26925365150455,5.26053191136375,4.63376356791853,1.26500093528667e-05,0.0260536133955462,3.0526131378092,"9631","NUP155","nucleoporin 155"
"ENSG00000151376",-1.7416049576512,4.90435139802226,-4.59189409895886,1.48668208679837e-05,0.0260536133955462,2.90168235409481,"10873","ME3","malic enzyme 3"
"ENSG00000164327",1.31567442628099,6.02811828356665,4.55286310929229,1.72697779570204e-05,0.0260536133955462,2.76420739302583,"253260","RICTOR","RPTOR independent companion of MTOR complex 2"
"ENSG00000172262",1.08581113871458,5.22107757156012,4.5387438220819,1.82285441483923e-05,0.0260536133955462,2.71466828703381,"7690","ZNF131","zinc finger protein 131"
"ENSG00000113456",1.069437555525,4.714383389334,4.5267961020628,1.90799707484271e-05,0.0260536133955462,2.67594975731225,"5810","RAD1","RAD1 checkpoint DNA exonuclease"
"ENSG00000285437",1.19329975170887,1.38413131557238,4.47743086290039,2.30247073384546e-05,0.0260536133955462,2.42201487927889,"548644","POLR2J3","RNA polymerase II subunit J3"
"ENSG00000112972",1.4899215184265,6.07370481963387,4.44942066947092,2.56028253370086e-05,0.026732600899754,2.40105061205214,"3157","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"ENSG00000164989",1.00619705272866,1.61031162897483,4.43818037234652,2.67141065183182e-05,0.026732600899754,2.30606581510423,"203238","CCDC171","coiled-coil domain containing 171"
"ENSG00000215475",2.67271013965082,-2.05491516236927,4.47735335011164,2.30314823621171e-05,0.0260536133955462,2.17396656964578,"283514","SIAH3","siah E3 ubiquitin protein ligase family member 3"
"ENSG00000038382",1.23402293264476,7.46474057137999,4.37210741170703,3.42524113303742e-05,0.0316053555278989,2.13860382532685,"7204","TRIO","trio Rho guanine nucleotide exchange factor"
"ENSG00000182700",-1.09894762078451,4.0180688376455,-4.34520766927788,3.78776908419401e-05,0.0322924242425115,2.05563984289137,"492311","IGIP","IgA inducing protein"
"ENSG00000258932",2.97091926531094,-5.19700800558272,4.5411944676882,1.80585130668371e-05,0.0260536133955462,1.92198454401988,"326323","RPS27AP4","RPS27A pseudogene 4"
"ENSG00000144406",2.79879179297516,-2.65171275184741,4.4135561118945,2.93140618620027e-05,0.0282478985750217,1.91610701012707,"285175","UNC80","unc-80 subunit of NALCN channel complex"
"ENSG00000156787",1.02599213922243,3.02993756110859,4.20482155239091,6.36712105973887e-05,0.0447729069546718,1.5989409471737,"93594","TBC1D31","TBC1 domain family member 31"
"ENSG00000172167",1.21643215185601,2.98139483800808,4.19659924813049,6.56180876543976e-05,0.0449276685418978,1.57127732709397,"27085","MTBP","MDM2 binding protein"
"ENSG00000187951",1.22826977424527,2.5337998137774,4.16889628752606,7.26084062335492e-05,0.0484391157278073,1.48203728860855,"100288637","LOC100288637","OTU deubiquitinase 7A pseudogene"
